subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
positive_edge,2023-24,6656,2023-08-11T18:00:00+00:00,Eredivisie,Netherlands,FC Volendam,Vitesse,away,Vitesse,home,FC Volendam,0.038879,0.285206,0.246327,away,1,2,3,0,1,0,0,1,1,1,0,0,0,0,0,0,3.94,1.94,3.83,,,1.56,2.22,2.22,1.56,2.55,1.71,1.71,2.55,1,0,0,1,0,1,1,0,-1.0,0.94,-1.0,,,0.56,-1.0,-1.0,0.56,-1.0,0.71,0.71,-1.0
positive_edge,2023-24,6657,2023-08-12T14:30:00+00:00,Eredivisie,Netherlands,PSV,FC Utrecht,home,PSV,away,FC Utrecht,0.128759,0.285363,0.156604,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,6.17,1.3,9.65,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.3,-1.0,,,,,,,,,,
positive_edge,2023-24,6658,2023-08-12T16:45:00+00:00,Eredivisie,Netherlands,SC Heerenveen,RKC Waalwijk,home,SC Heerenveen,away,RKC Waalwijk,0.070165,0.285335,0.21517,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,4.5,1.57,5.76,,,2.62,1.43,2.62,1.43,1.53,2.97,1.53,2.97,0,1,0,1,1,0,1,0,-1.0,0.57,-1.0,,,-1.0,0.43,-1.0,0.43,0.53,-1.0,0.53,-1.0
positive_edge,2023-24,6659,2023-08-12T18:00:00+00:00,Eredivisie,Netherlands,Ajax,Heracles Almelo,home,Ajax,away,Heracles Almelo,0.148816,0.284273,0.135457,home,4,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,7.13,1.25,10.51,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.25,-1.0,,,,,,,,,,
positive_edge,2023-24,6660,2023-08-12T19:00:00+00:00,Eredivisie,Netherlands,PEC Zwolle,Sparta Rotterdam,home,PEC Zwolle,away,Sparta Rotterdam,0.00994,0.282448,0.272508,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.57,2.64,2.71,,,1.65,1.65,1.65,1.65,2.33,2.34,2.33,2.34,1,0,1,0,0,1,0,1,-1.0,-1.0,1.71,,,0.65,-1.0,0.65,-1.0,-1.0,1.34,-1.0,1.34
positive_edge,2023-24,6661,2023-08-13T10:15:00+00:00,Eredivisie,Netherlands,NEC,Excelsior,home,NEC,away,Excelsior,0.07752,0.282638,0.205118,away,3,4,7,0,0,1,0,1,0,1,0,0,0,0,0,0,4.72,1.48,6.88,,,2.63,,2.63,,1.52,,1.52,,0,0,0,0,1,1,1,1,-1.0,-1.0,5.88,,,-1.0,,-1.0,,0.52,,0.52,
positive_edge,2023-24,6662,2023-08-13T12:30:00+00:00,Eredivisie,Netherlands,AZ,Go Ahead Eagles,home,AZ,away,Go Ahead Eagles,0.061901,0.280828,0.218927,home,5,1,6,0,1,0,0,1,0,1,0,0,0,0,0,0,4.43,1.54,6.41,,,2.42,,2.42,,1.61,,1.61,,0,1,0,1,1,0,1,0,-1.0,0.54,-1.0,,,-1.0,,-1.0,,0.61,,0.61,
positive_edge,2023-24,6663,2023-08-13T12:30:00+00:00,Eredivisie,Netherlands,Feyenoord,Fortuna Sittard,home,Feyenoord,away,Fortuna Sittard,0.156799,0.280828,0.124029,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,7.76,1.17,18.04,,,,,,,,,,,1,1,1,1,0,0,0,0,6.76,-1.0,-1.0,,,,,,,,,,
positive_edge,2023-24,6664,2023-08-13T14:45:00+00:00,Eredivisie,Netherlands,Almere City,FC Twente,away,FC Twente,home,Almere City,0.047347,0.279714,0.232366,away,1,4,5,0,1,0,0,1,0,1,0,0,0,0,0,0,4.18,1.61,5.91,,,,2.31,2.31,,,1.67,1.67,,1,0,0,1,0,1,1,0,-1.0,0.61,-1.0,,,,-1.0,-1.0,,,0.67,0.67,
positive_edge,2023-24,6670,2023-08-20T10:15:00+00:00,Eredivisie,Netherlands,FC Utrecht,SC Heerenveen,home,FC Utrecht,away,SC Heerenveen,0.031712,0.280409,0.248698,away,0,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,3.9,1.86,4.22,,,2.18,1.45,2.18,1.45,1.74,2.92,1.74,2.92,1,0,1,0,0,1,0,1,-1.0,-1.0,3.22,,,1.18,-1.0,1.18,-1.0,-1.0,1.92,-1.0,1.92
positive_edge,2023-24,6671,2023-08-20T12:30:00+00:00,Eredivisie,Netherlands,Sparta Rotterdam,Feyenoord,away,Feyenoord,home,Sparta Rotterdam,0.056917,0.282218,0.225301,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,4.3,1.7,4.73,,,,2.35,2.35,,,1.64,1.64,,0,0,0,0,1,1,1,1,3.3,-1.0,-1.0,,,,-1.0,-1.0,,,0.64,0.64,
positive_edge,2023-24,6672,2023-08-20T12:30:00+00:00,Eredivisie,Netherlands,FC Twente,PEC Zwolle,home,FC Twente,away,PEC Zwolle,0.088643,0.266272,0.177628,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,5.47,1.4,7.57,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.4,-1.0,,,,,,,,,,
positive_edge,2023-24,6673,2023-08-20T14:45:00+00:00,Eredivisie,Netherlands,RKC Waalwijk,AZ,away,AZ,home,RKC Waalwijk,0.045751,0.270361,0.22461,away,1,3,4,0,1,0,0,1,0,1,0,0,0,0,0,0,4.32,1.65,5.18,,,1.41,2.47,2.47,1.41,3.02,1.59,1.59,3.02,1,0,0,1,0,1,1,0,-1.0,0.65,-1.0,,,0.41,-1.0,-1.0,0.41,-1.0,0.59,0.59,-1.0
positive_edge,2023-24,6674,2023-08-26T16:45:00+00:00,Eredivisie,Netherlands,NEC,RKC Waalwijk,home,NEC,away,RKC Waalwijk,0.044388,0.263597,0.219209,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,4.42,1.69,4.67,,,2.45,1.42,2.45,1.42,1.6,3.04,1.6,3.04,0,1,0,1,1,0,1,0,-1.0,0.69,-1.0,,,-1.0,0.42,-1.0,0.42,0.6,-1.0,0.6,-1.0
positive_edge,2023-24,6675,2023-08-26T19:00:00+00:00,Eredivisie,Netherlands,Excelsior,Fortuna Sittard,away,Fortuna Sittard,home,Excelsior,0.005863,0.268858,0.262995,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,3.7,2.39,2.95,,,1.62,1.8,1.8,1.62,2.4,2.09,2.09,2.4,0,0,0,0,1,1,1,1,2.7,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,1.4,1.09,1.09,1.4
positive_edge,2023-24,6676,2023-08-27T10:15:00+00:00,Eredivisie,Netherlands,PEC Zwolle,FC Utrecht,away,FC Utrecht,home,PEC Zwolle,0.026638,0.278011,0.251373,home,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,3.87,2.44,2.78,,,1.75,1.88,1.88,1.75,2.16,1.99,1.99,2.16,1,1,1,1,0,0,0,0,-1.0,-1.0,1.78,,,0.75,0.88,0.88,0.75,-1.0,-1.0,-1.0,-1.0
positive_edge,2023-24,6677,2023-08-27T12:30:00+00:00,Eredivisie,Netherlands,Feyenoord,Almere City,home,Feyenoord,away,Almere City,0.175176,0.273109,0.097933,home,6,1,7,0,1,0,0,1,0,1,0,0,0,0,0,0,9.9,1.14,18.79,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.14,-1.0,,,,,,,,,,
